year,brood,offspring,rank,dam,sire,dam.type,sire.type,hothiphop.parents,hiphop,hot.parents,hot.dam,hot.sire,hothiphop.dam,hothiphop.sire,below.threshold,threshold,loci.dyad.dam,loci.dyad.sire,loci.triad,offspring.heterozygosity,social.mother.sampled,social.father.sampled,social.mother,social.father,condition,ranking,ranking2
2019,1,WCR2019_0791,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,57,35,22,22,13,57,48,1,99999,488,827,473,0.432400932400932,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0791,3,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,57,31,26,22,28,53,59,1,99999,488,760,425,0.432400932400932,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0792,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,57,20,37,26,43,46,63,1,99999,488,626,355,0.359720605355064,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0792,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,65,25,40,26,46,51,71,1,99999,488,761,425,0.359720605355064,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0792,3,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,71,33,38,26,61,59,94,1,99999,488,749,418,0.359720605355064,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0793,1,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,55,36,19,13,18,49,54,1,99999,483,641,377,0.525821596244131,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0793,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,58,37,21,13,24,50,61,1,99999,483,755,421,0.525821596244131,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0793,3,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,63,48,15,13,19,61,67,1,99999,483,742,413,0.525821596244131,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0794,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,68,24,44,33,43,57,67,1,99999,486,626,356,0.357894736842105,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0794,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,69,27,42,33,44,60,71,1,99999,486,757,423,0.357894736842105,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0794,3,WCR2019_0223,WCR2019_0073,within-group subordinate,within-group subordinate,74,30,44,33,45,63,75,1,99999,486,783,435,0.357894736842105,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0795,1,WCR2019_0223,WCR2019_0216,within-group subordinate,within-group subordinate,57,31,26,23,4,54,35,1,99999,489,851,488,0.364060676779463,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0795,2,WCR2019_0440,WCR2019_0216,within-group subordinate,within-group subordinate,63,34,29,28,4,62,38,1,99999,567,851,564,0.364060676779463,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0795,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,66,38,28,23,27,61,65,1,99999,489,826,474,0.364060676779463,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0796,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,65,24,41,28,45,52,69,1,99999,485,622,352,0.365339578454333,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0796,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,68,32,36,28,41,60,73,1,99999,485,756,422,0.365339578454333,0,0,NA,NA,none,hothiphop.parents,hot.parents
